id,name,category,recommended_style,recommended_palette,layout_type,priority_feature,accessibility_level,notes
PT001,SaaS Dashboard,web-app,dashboard-clean,P001,sidebar,data-visualization,WCAG-AA,Product type
PT002,E-commerce Store,web-app,bento-grid,P005,top-nav,search-filter,WCAG-AAA,Product type
PT003,Social Network,web-app,glassmorphism,P010,hybrid,real-time,WCAG-AA,Product type
PT004,Blog Platform,web-app,editorial-magazine,P015,sidebar,user-auth,WCAG-AAA,Product type
PT005,Portfolio Site,web-app,minimalism,P020,top-nav,notifications,WCAG-AA,Product type
PT006,Admin Panel,web-app,corporate-clean,P025,hybrid,data-visualization,WCAG-AAA,Product type
PT007,Mobile Banking,web-app,dark-premium,P030,sidebar,search-filter,WCAG-AA,Product type
PT008,Health Tracker,web-app,landing-hero,P035,top-nav,real-time,WCAG-AAA,Product type
PT009,Food Delivery,web-app,claymorphism,P040,hybrid,user-auth,WCAG-AA,Product type
PT010,Travel Booking,web-app,cyberpunk,P045,sidebar,notifications,WCAG-AAA,Product type
PT011,Project Management,web-app,dashboard-clean,P001,top-nav,data-visualization,WCAG-AA,Product type
PT012,CRM System,web-app,bento-grid,P005,hybrid,search-filter,WCAG-AAA,Product type
PT013,Learning Platform,web-app,glassmorphism,P010,sidebar,real-time,WCAG-AA,Product type
PT014,Job Board,web-app,editorial-magazine,P015,top-nav,user-auth,WCAG-AAA,Product type
PT015,Real Estate,web-app,minimalism,P020,hybrid,notifications,WCAG-AA,Product type
PT016,Music Streaming,web-app,corporate-clean,P025,sidebar,data-visualization,WCAG-AAA,Product type
PT017,Video Platform,web-app,dark-premium,P030,top-nav,search-filter,WCAG-AA,Product type
PT018,Podcast App,web-app,landing-hero,P035,hybrid,real-time,WCAG-AAA,Product type
PT019,Dating App,web-app,claymorphism,P040,sidebar,user-auth,WCAG-AA,Product type
PT020,Fitness Tracker,web-app,cyberpunk,P045,top-nav,notifications,WCAG-AAA,Product type
PT021,Weather App,web-app,dashboard-clean,P001,hybrid,data-visualization,WCAG-AA,Product type
PT022,News Portal,web-app,bento-grid,P005,sidebar,search-filter,WCAG-AAA,Product type
PT023,Calculator App,web-app,glassmorphism,P010,top-nav,real-time,WCAG-AA,Product type
PT024,Note Taking,web-app,editorial-magazine,P015,hybrid,user-auth,WCAG-AAA,Product type
PT025,Task Manager,web-app,minimalism,P020,sidebar,notifications,WCAG-AA,Product type
PT026,Calendar App,web-app,corporate-clean,P025,top-nav,data-visualization,WCAG-AAA,Product type
PT027,Email Client,web-app,dark-premium,P030,hybrid,search-filter,WCAG-AA,Product type
PT028,Chat Application,web-app,landing-hero,P035,sidebar,real-time,WCAG-AAA,Product type
PT029,Video Conferencing,web-app,claymorphism,P040,top-nav,user-auth,WCAG-AA,Product type
PT030,File Storage,web-app,cyberpunk,P045,hybrid,notifications,WCAG-AAA,Product type
PT031,Analytics Dashboard,web-app,dashboard-clean,P001,sidebar,data-visualization,WCAG-AA,Product type
PT032,Trading Platform,web-app,bento-grid,P005,top-nav,search-filter,WCAG-AAA,Product type
PT033,IoT Dashboard,web-app,glassmorphism,P010,hybrid,real-time,WCAG-AA,Product type
PT034,Smart Home,web-app,editorial-magazine,P015,sidebar,user-auth,WCAG-AAA,Product type
PT035,Car Interface,web-app,minimalism,P020,top-nav,notifications,WCAG-AA,Product type
PT036,Restaurant Menu,web-app,corporate-clean,P025,hybrid,data-visualization,WCAG-AAA,Product type
PT037,Hotel Booking,web-app,dark-premium,P030,sidebar,search-filter,WCAG-AA,Product type
PT038,Event Ticketing,web-app,landing-hero,P035,top-nav,real-time,WCAG-AAA,Product type
PT039,Crowdfunding,web-app,claymorphism,P040,hybrid,user-auth,WCAG-AA,Product type
PT040,Marketplace,web-app,cyberpunk,P045,sidebar,notifications,WCAG-AAA,Product type
PT041,Online Survey,web-app,dashboard-clean,P001,top-nav,data-visualization,WCAG-AA,Product type
PT042,Wiki Platform,web-app,bento-grid,P005,hybrid,search-filter,WCAG-AAA,Product type
PT043,Forum Community,web-app,glassmorphism,P010,sidebar,real-time,WCAG-AA,Product type
PT044,Recipe App,web-app,editorial-magazine,P015,top-nav,user-auth,WCAG-AAA,Product type
PT045,Plant Identifier,web-app,minimalism,P020,hybrid,notifications,WCAG-AA,Product type
PT046,Meditation App,web-app,corporate-clean,P025,sidebar,data-visualization,WCAG-AAA,Product type
PT047,Language Learning,web-app,dark-premium,P030,top-nav,search-filter,WCAG-AA,Product type
PT048,Code Editor,web-app,landing-hero,P035,hybrid,real-time,WCAG-AAA,Product type
PT049,Design Tool,web-app,claymorphism,P040,sidebar,user-auth,WCAG-AA,Product type
PT050,AI Chatbot,web-app,cyberpunk,P045,top-nav,notifications,WCAG-AAA,Product type
