id,component_type,selector_strategy,assertion_type,wait_strategy,description
UI01,button,text data-testid,element-visible text-contains,waitForElement,按钮点击策略：优先 text 匹配，fallback 到 data-testid
UI02,input,data-testid aria-label,element-visible attribute-equals,waitForElement,输入框填写策略：使用 aria-label 定位
UI03,form,data-testid,text-contains url-matches,waitForElement,表单提交策略：验证提交后 URL 变化
UI04,table,data-testid css-class,count-equals element-visible,waitForElement,表格数据策略：验证行数和内容
UI05,modal,data-testid css-class,element-visible text-contains,waitForElement,模态框策略：等待出现后操作
UI06,nav,text aria-label,element-visible url-matches,waitForElement,导航跳转策略：验证 URL 变化
UI07,dropdown,data-testid,element-visible attribute-equals,waitForElement,下拉选择策略：验证选中值
UI08,checkbox,data-testid,attribute-equals element-visible,waitForElement,复选框策略：验证 checked 状态
UI09,radio,data-testid,attribute-equals,waitForElement,单选按钮策略：验证选中状态
UI10,file-upload,data-testid,element-visible,waitForElement,文件上传策略：验证文件选择
UI11,pagination,text data-testid,element-visible text-contains,waitForElement,分页组件策略：验证页码和内容
UI12,toast,data-testid css-class,element-visible text-contains,waitForElement,提示消息策略：等待出现后消失
UI13,loading,data-testid css-class,element-visible,waitForElement,加载状态策略：等待加载完成
UI14,validation-message,css-class data-testid,text-contains element-visible,waitForElement,表单验证消息策略
UI15,image,data-testid,element-visible,waitForElement,图片加载策略：验证 src 属性
